ID,Strain Name,Sanger Exact,Location,Locus Tag,Gene Abbrev.,Putative ORF Function
6819,PW7836,+,phoAwp08q2E09,PA4039,,hypothetical protein
6820,PW7835,+,phoAwp06q4H05,PA4039,,hypothetical protein
6821,PW7837,+,Supplemental_Plate3F02,PA4040,,hypothetical protein
6822,PW7838,+,phoAwp07q2A08,PA4041,,hypothetical protein
6823,PW7839,+,phoAwp07q2F03,PA4041,,hypothetical protein
6824,PW7840,+,phoAwp04q3A09,PA4042,xseB,exodeoxyribonuclease VII small subunit
6825,PW7841,+,phoAwp04q3D07,PA4042,xseB,exodeoxyribonuclease VII small subunit
6826,PW7843,+,phoAwp09q4F07,PA4045,,conserved hypothetical protein
6827,PW7842,+,lacZwp04q4G02,PA4045,,conserved hypothetical protein
6828,PW7844,,lacZwp05q1D06,PA4046,,hypothetical protein
6829,PW7845,+,lacZwp01q2G01,PA4048,,hypothetical protein
6830,PW7846,+,lacZwp06q3C12,PA4048,,hypothetical protein
6831,PW7847,,lacZwp04q4D11,PA4049,,hypothetical protein
6832,PW7848,+,phoAwp06q2C04,PA4049,,hypothetical protein
6833,PW9991,+,phoAwp09q3D06,PA4049,,hypothetical protein
6834,PW7850,+,phoAwp09q4H12,PA4050,pgpA,phosphatidylglycerophosphatase A
6835,PW7849,+,lacZwp08q1A01,PA4050,pgpA,phosphatidylglycerophosphatase A
6836,PW7851,+,lacZwp05q2F11,PA4053,ribE,"6,7-dimethyl-8-ribityllumazine synthase"
6837,PW7852,+,lacZbp02q1D04,PA4054,ribB,"GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase"
6838,PW7853,+,phoAwp01q4D05,PA4054,ribB,"GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase"
6839,PW7855,+,phoAwp07q4C04,PA4057,nrdR,NrdR
6840,PW7854,+,lacZbp01q3H02,PA4057,nrdR,NrdR
6841,PW7856,,lacZwp01q3B04,PA4058,,hypothetical protein
6842,PW7857,+,lacZwp09q3E06,PA4058,,hypothetical protein
6843,PW7859,+,phoAwp02q3A09,PA4059,,hypothetical protein
6844,PW7858,+,lacZwp08q3A03,PA4059,,hypothetical protein
6845,PW7860,+,lacZwp08q3C11,PA4060,,hypothetical protein
6846,PW7861,+,lacZwp09q3A02,PA4060,,hypothetical protein
6847,PW7863,+,lacZwp08q2B06,PA4061,,probable thioredoxin
6848,PW7862,+,lacZwp02q1D05,PA4061,,probable thioredoxin
6849,PW2977,+,lacZwp06q2A03,PA4061,,probable thioredoxin
6850,PW7864,+,lacZwp05q2D07,PA4062,,hypothetical protein
6851,PW7865,+,lacZwp07q1E09,PA4062,,hypothetical protein
6852,PW7866,+,lacZwp03q4G12,PA4063,,hypothetical protein
6853,PW7867,+,phoAwp04q2A01,PA4063,,hypothetical protein
6854,PW7869,+,phoAwp06q4G01,PA4064,,probable ATP-binding component of ABC transporter
6855,PW7868,+,phoAwp03q2F12,PA4064,,probable ATP-binding component of ABC transporter
6856,PW7871,+,phoAwp04q3C11,PA4065,,hypothetical protein
6857,PW7870,+,phoAbp02q1E07,PA4065,,hypothetical protein
6858,PW7873,+,phoAbp03q2F04,PA4066,,hypothetical protein
6859,PW7872,+,lacZwp09q1D04,PA4066,,hypothetical protein
6860,PW7877,+,phoAwp03q1A04,PA4067,oprG,Outer membrane protein OprG precursor
6861,PW7875,+,phoAbp02q2A08,PA4067,oprG,Outer membrane protein OprG precursor
6862,PW10285,+,phoAbp01q2B09,PA4067,oprG,Outer membrane protein OprG precursor
6863,PW7874,+,phoAbp01q2B06,PA4067,oprG,Outer membrane protein OprG precursor
6864,PW7876,+,phoAbp02q3C02,PA4067,oprG,Outer membrane protein OprG precursor
6865,PW7878,+,lacZwp03q3F01,PA4068,,probable epimerase
6866,PW7879,+,phoAwp04q4H07,PA4069,,hypothetical protein
6867,PW7881,+,lacZwp05q3C12,PA4070,,probable transcriptional regulator
6868,PW7882,,phoAwp01q3B04,PA4070,,probable transcriptional regulator
6869,PW2946,,lacZwp03q2H07,PA4070,,probable transcriptional regulator
6870,PW7883,+,phoAwp05q1H05,PA4070,,probable transcriptional regulator
6871,PW2098,,phoAwp09q3D07,PA4071,,hypothetical protein
6872,PW7885,+,phoAwp07q4D10,PA4071,,hypothetical protein
6873,PW7884,+,lacZwp01q1F09,PA4071,,hypothetical protein
6874,PW7886,+,lacZwp07q4D10,PA4072,,probable amino acid permease
6875,PW7887,+,phoAwp06q1H04,PA4072,,probable amino acid permease
6876,PW7888,+,phoAwp03q1H06,PA4073,,probable aldehyde dehydrogenase
6877,PW7889,+,phoAwp04q1A08,PA4073,,probable aldehyde dehydrogenase
6878,PW4646,+,phoAwp01q4G10,PA4074,,probable transcriptional regulator
6879,PW7891,,phoAwp04q2A08,PA4074,,probable transcriptional regulator
6880,PW7890,+,lacZwp01q4C09,PA4074,,probable transcriptional regulator
6881,PW7892,+,lacZwp08q3C10,PA4075,,hypothetical protein
6882,PW7895,+,phoAwp06q2F01,PA4076,,hypothetical protein
6883,PW9966,+,phoAwp06q2D02,PA4076,,hypothetical protein
6884,PW7894,+,lacZwp05q3A01,PA4076,,hypothetical protein
6885,PW7897,+,phoAwp04q3F03,PA4078,,probable nonribosomal peptide synthetase
6886,PW7896,+,lacZwp09q2C08,PA4078,,probable nonribosomal peptide synthetase
6887,PW7899,+,lacZwp08q1F12,PA4079,,probable dehydrogenase
6888,PW7898,+,lacZbp03q1D12,PA4079,,probable dehydrogenase
6889,PW7901,+,phoAwp06q4B06,PA4080,,probable response regulator
6890,PW7900,+,lacZwp08q1A09,PA4080,,probable response regulator
6891,PW9308,,lacZbp03q1B05,PA4080,,probable response regulator
6892,PW7903,+,phoAwp09q3C02,PA4081,cupB6,fimbrial subunit CupB6
6893,PW7902,+,phoAwp03q3B01,PA4081,cupB6,fimbrial subunit CupB6
6894,PW7904,+,phoAwp04q1H10,PA4082,cupB5,adhesive protein CupB5
6895,PW7905,+,phoAwp05q3E06,PA4082,cupB5,adhesive protein CupB5
6896,PW7906,+,phoAwp07q2G08,PA4083,cupB4,chaperone CupB4
6897,PW7907,+,phoAwp10q2A03,PA4083,cupB4,chaperone CupB4
6898,PW7909,+,phoAwp09q2D02,PA4084,cupB3,usher CupB3
6899,PW7908,+,lacZwp02q1E09,PA4084,cupB3,usher CupB3
6900,PW7910,,lacZbp01q2F02,PA4085,cupB2,chaperone CupB2
6901,PW7911,+,phoAwp09q4E03,PA4085,cupB2,chaperone CupB2
6902,PW7913,,phoAwp03q2H09,PA4086,cupB1,probable fimbrial subunit CupB1
6903,PW7912,+,phoAbp02q2C08,PA4086,cupB1,probable fimbrial subunit CupB1
6904,PW7915,+,phoAwp02q1D09,PA4087,,conserved hypothetical protein
6905,PW7914,+,lacZwp07q3E01,PA4087,,conserved hypothetical protein
6906,PW7917,+,phoAwp10q1A07,PA4088,,probable aminotransferase
6907,PW7916,+,lacZwp05q2C05,PA4088,,probable aminotransferase
6908,PW7918,+,lacZwp01q2F04,PA4089,,probable short-chain dehydrogenase
6909,PW7919,+,lacZbp02q3E11,PA4091,hpaA,4-hydroxyphenylacetate 3-monooxygenase large chain
6910,PW1479,+,lacZbp02q3D11,PA4091,hpaA,4-hydroxyphenylacetate 3-monooxygenase large chain
6911,PW7920,+,lacZwp03q3B12,PA4091,hpaA,4-hydroxyphenylacetate 3-monooxygenase large chain
6912,PW7921,+,Supplemental_Plate4B12,PA4091,hpaA,4-hydroxyphenylacetate 3-monooxygenase large chain
6913,PW7922,+,phoAwp09q3G06,PA4092,hpaC,4-hydroxyphenylacetate 3-monooxygenase small chain
6914,PW7923,+,phoAwp03q4C06,PA4093,,hypothetical protein
6915,PW7925,+,phoAwp05q1A08,PA4094,,probable transcriptional regulator
6916,PW7924,+,phoAwp04q3E10,PA4094,,probable transcriptional regulator
6917,PW7926,+,phoAwp02q3E07,PA4095,,hypothetical protein
6918,PW7927,+,phoAwp02q3F07,PA4095,,hypothetical protein
6919,PW7929,+,Supplemental_Plate3E11,PA4096,,probable major facilitator superfamily (MFS) transporter
6920,PW7928,+,phoAwp09q1B10,PA4096,,probable major facilitator superfamily (MFS) transporter
6921,PW7930,+,lacZwp07q3F06,PA4097,,probable alcohol dehydrogenase (Zn-dependent)
6922,PW7931,+,phoAwp04q4C04,PA4097,,probable alcohol dehydrogenase (Zn-dependent)
6923,PW7933,,lacZwp09q1E05,PA4099,,hypothetical protein
6924,PW2931,+,lacZbp02q3H10,PA4100,,probable dehydrogenase
6925,PW7965,,lacZbp02q3G10,PA4100,,probable dehydrogenase
6926,PW7934,+,phoAwp06q1G05,PA4100,,probable dehydrogenase
6927,PW7935,+,phoAwp03q3F02,PA4101,,probable two-component response regulator
6928,PW7936,+,Supplemental_Plate2H12,PA4101,,probable two-component response regulator
6929,PW7938,+,phoAwp06q2E10,PA4102,,probable two-component sensor
6930,PW7937,+,phoAwp01q3B01,PA4102,,probable two-component sensor
6931,PW7327,+,phoAwp04q1B01,PA4102,,probable two-component sensor
6932,PW7940,+,phoAwp08q2F08,PA4103,,hypothetical protein
6933,PW7939,+,phoAwp06q2E04,PA4103,,hypothetical protein
6934,PW7942,+,phoAwp04q4E04,PA4104,,conserved hypothetical protein
6935,PW7943,+,phoAwp04q4G09,PA4105,,hypothetical protein
6936,PW7944,+,phoAwp10q2D03,PA4105,,hypothetical protein
6937,PW7946,+,lacZwp08q3E12,PA4106,,conserved hypothetical protein
6938,PW7945,+,lacZwp07q1D08,PA4106,,conserved hypothetical protein
6939,PW7947,+,lacZwp07q1E10,PA4107,,hypothetical protein
6940,PW7948,+,lacZwp04q2B01,PA4108,,hypothetical protein
6941,PW7949,+,phoAwp08q1F12,PA4108,,hypothetical protein
6942,PW7950,+,phoAwp01q3E08,PA4109,ampR,transcriptional regulator AmpR
6943,PW7951,+,phoAwp04q2F03,PA4109,ampR,transcriptional regulator AmpR
6944,PW7954,+,phoAbp02q4D09,PA4110,ampC,beta-lactamase precursor
6945,PW7953,+,phoAbp01q3D09,PA4110,ampC,beta-lactamase precursor
6946,PW7952,+,lacZwp03q3H08,PA4110,ampC,beta-lactamase precursor
6947,PW7955,+,lacZwp02q3F06,PA4111,,hypothetical protein
6948,PW7956,+,phoAwp02q4C07,PA4111,,hypothetical protein
6949,PW7957,+,lacZwp03q2H11,PA4112,,probable sensor/response regulator hybrid
6950,PW7959,+,Supplemental_Plate2G10,PA4112,,probable sensor/response regulator hybrid
6951,PW7958,+,lacZwp06q3C10,PA4112,,probable sensor/response regulator hybrid
6952,PW7546,+,lacZbp03q1F08,PA4112,,probable sensor/response regulator hybrid
6953,PW7960,+,lacZwp02q1E12,PA4113,,probable major facilitator superfamily (MFS) transporter
6954,PW7961,+,phoAwp03q3B12,PA4113,,probable major facilitator superfamily (MFS) transporter
6955,PW7962,+,lacZwp03q1F09,PA4114,,spermidine acetyltransferase
6956,PW7964,+,Supplemental_Plate3F10,PA4114,,spermidine acetyltransferase
6957,PW7963,+,phoAwp02q3C04,PA4114,,spermidine acetyltransferase
6958,PW7966,+,phoAwp06q3G04,PA4115,,conserved hypothetical protein
6959,PW7967,+,lacZwp02q1C11,PA4116,bphO,"heme oxygenase, BphO"
6960,PW7968,+,lacZwp07q4H03,PA4116,bphO,"heme oxygenase, BphO"
6961,PW7970,+,phoAwp09q2C10,PA4117,bphP,"bacterial phytochrome, BphP"
6962,PW7969,+,lacZbp03q2C12,PA4117,bphP,"bacterial phytochrome, BphP"
6963,PW7972,+,phoAwp07q4F10,PA4118,,hypothetical protein
6964,PW7971,+,phoAbp02q4C03,PA4118,,hypothetical protein
6965,PW7974,+,lacZwp08q2F09,PA4120,,probable transcriptional regulator
6966,PW7973,,lacZwp04q4H05,PA4120,,probable transcriptional regulator
6967,PW7975,+,lacZwp09q2F01,PA4121,,conserved hypothetical protein
6968,PW7976,+,phoAwp04q1G03,PA4121,,conserved hypothetical protein
6969,PW7978,+,phoAwp01q3G04,PA4122,,conserved hypothetical protein
6970,PW7980,+,phoAwp09q1B07,PA4123,hpcC,5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase
6971,PW7979,+,phoAbp01q4B10,PA4123,hpcC,5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase
6972,PW7981,+,lacZwp03q1E11,PA4124,hpcB,"homoprotocatechuate 2,3-dioxygenase"
6973,PW7982,+,phoAwp01q2H04,PA4124,hpcB,"homoprotocatechuate 2,3-dioxygenase"
6974,PW7983,+,Supplemental_Plate3F08,PA4124,hpcB,"homoprotocatechuate 2,3-dioxygenase"
6975,PW7985,+,phoAwp07q3B08,PA4125,hpcD,5-carboxymethyl-2-hydroxymuconate isomerase
6976,PW7984,+,lacZbp02q2H06,PA4125,hpcD,5-carboxymethyl-2-hydroxymuconate isomerase
6977,PW7988,+,phoAwp06q4G04,PA4126,,probable major facilitator superfamily (MFS) transporter
6978,PW7986,+,lacZwp03q2E12,PA4126,,probable major facilitator superfamily (MFS) transporter
6979,PW7987,+,phoAwp05q1C12,PA4126,,probable major facilitator superfamily (MFS) transporter
6980,PW7989,+,lacZwp04q4C04,PA4127,hpcG,"2-oxo-hept-3-ene-1,7-dioate hydratase"
6981,PW7990,+,lacZwp06q4G11,PA4127,hpcG,"2-oxo-hept-3-ene-1,7-dioate hydratase"
6982,PW7991,+,phoAwp01q1F11,PA4128,,conserved hypothetical protein
6983,PW7992,+,phoAwp09q2F10,PA4128,,conserved hypothetical protein
6984,PW7993,+,phoAwp09q4G05,PA4129,,hypothetical protein
6985,PW7996,+,lacZbp03q4A04,PA4130,,probable sulfite or nitrite reductase
6986,PW7994,+,lacZbp02q1A10,PA4130,,probable sulfite or nitrite reductase
6987,PW7995,+,lacZbp02q1G01,PA4130,,probable sulfite or nitrite reductase
6988,PW7997,+,lacZwp03q3E06,PA4131,,probable iron-sulfur protein
6989,PW7999,+,phoAbp02q4H05,PA4131,,probable iron-sulfur protein
6990,PW7998,+,phoAbp02q2C01,PA4131,,probable iron-sulfur protein
6991,PW8001,+,phoAwp09q3B12,PA4132,,conserved hypothetical protein
6992,PW8000,+,lacZwp04q2C11,PA4132,,conserved hypothetical protein
6993,PW8002,+,phoAbp01q1C10,PA4133,,cytochrome c oxidase subunit (cbb3-type)
6994,PW8003,+,phoAbp02q1B01,PA4133,,cytochrome c oxidase subunit (cbb3-type)
6995,PW8004,+,lacZwp08q4D12,PA4134,,hypothetical protein
6996,PW8006,+,phoAwp09q3C01,PA4135,,probable transcriptional regulator
6997,PW8005,+,phoAwp09q2A08,PA4135,,probable transcriptional regulator
6998,PW8007,+,phoAwp04q4A12,PA4136,,probable major facilitator superfamily (MFS) transporter
6999,PW8008,+,phoAwp09q2D12,PA4136,,probable major facilitator superfamily (MFS) transporter
7000,PW8010,+,phoAwp01q3B09,PA4137,,probable porin
7001,PW8009,+,lacZwp05q2F07,PA4137,,probable porin
7002,PW8011,+,phoAwp04q1D11,PA4138,tyrS,tyrosyl-tRNA synthetase
7003,PW8012,+,phoAwp09q4F01,PA4138,tyrS,tyrosyl-tRNA synthetase
7004,PW4226,+,phoAwp02q3E12,PA4138,tyrS,tyrosyl-tRNA synthetase
7005,PW8014,+,lacZwp07q4F03,PA4139,,hypothetical protein
7006,PW8013,+,lacZwp03q4D11,PA4139,,hypothetical protein
7007,PW5963,,lacZwp04q4D12,PA4140,,hypothetical protein
7008,PW8016,+,phoAwp10q2A10,PA4140,,hypothetical protein
7009,PW8015,+,phoAwp08q3F06,PA4140,,hypothetical protein
7010,PW8018,+,phoAwp07q4A01,PA4142,,probable secretion protein
7011,PW8017,+,lacZwp08q2G09,PA4142,,probable secretion protein
7012,PW8020,+,phoAwp08q4C12,PA4143,,probable toxin transporter
7013,PW8019,+,phoAbp02q2B06,PA4143,,probable toxin transporter
7014,PW8021,+,phoAwp01q3F05,PA4144,,probable outer membrane protein precursor
7015,PW8022,+,phoAwp04q2H11,PA4144,,probable outer membrane protein precursor
7016,PW8023,+,lacZwp06q2G01,PA4145,,probable transcriptional regulator
7017,PW8024,+,phoAwp03q1D09,PA4145,,probable transcriptional regulator
7018,PW8025,+,phoAwp03q1E09,PA4145,,probable transcriptional regulator
7019,PW8026,+,phoAwp03q4D08,PA4145,,probable transcriptional regulator
7020,PW8027,+,lacZwp07q1A01,PA4147,acoR,transcriptional regulator AcoR
7021,PW8028,+,lacZwp07q2A12,PA4147,acoR,transcriptional regulator AcoR
7022,PW8029,+,phoAwp07q4D09,PA4148,,probable short-chain dehydrogenase
7023,PW3761,+,phoAwp07q4C09,PA4148,,probable short-chain dehydrogenase
7024,PW8030,,phoAwp10q1E12,PA4149,,conserved hypothetical protein
7025,PW8031,+,lacZwp08q2D05,PA4150,,probable dehydrogenase E1 component
7026,PW8032,+,phoAwp02q2D09,PA4150,,probable dehydrogenase E1 component
7027,PW8034,+,phoAwp06q1B10,PA4151,acoB,acetoin catabolism protein AcoB
7028,PW8033,+,phoAwp02q3B02,PA4151,acoB,acetoin catabolism protein AcoB
7029,PW8035,+,phoAwp02q3G12,PA4152,,probable hydrolase
7030,PW8036,+,phoAwp04q2H04,PA4152,,probable hydrolase
7031,PW8038,+,phoAwp08q1E09,PA4153,,"2,3-butanediol dehydrogenase"
7032,PW8037,+,lacZwp06q2A01,PA4153,,"2,3-butanediol dehydrogenase"
7033,PW8040,+,phoAbp01q3C08,PA4154,,conserved hypothetical protein
7034,PW8041,+,lacZwp02q4F11,PA4155,,hypothetical protein
7035,PW8042,+,phoAwp07q2H08,PA4155,,hypothetical protein
7036,PW8043,+,lacZwp02q2D05,PA4156,,probable TonB-dependent receptor
7037,PW8044,+,phoAwp07q4E10,PA4156,,probable TonB-dependent receptor
7038,PW8045,+,phoAwp06q1A01,PA4157,,probable transcriptional regulator
7039,PW8046,+,phoAwp06q1H01,PA4157,,probable transcriptional regulator
7040,PW8048,,phoAwp03q4D06,PA4158,fepC,ferric enterobactin transport protein FepC
7041,PW8047,+,lacZwp09q2D08,PA4158,fepC,ferric enterobactin transport protein FepC
7042,PW8049,+,lacZwp08q1E06,PA4159,fepB,ferrienterobactin-binding periplasmic protein precursor FepB
7043,PW8051,+,lacZwp07q1A06,PA4160,fepD,ferric enterobactin transport protein FepD
7044,PW8050,+,lacZwp01q3E09,PA4160,fepD,ferric enterobactin transport protein FepD
7045,PW8052,+,phoAwp03q4B06,PA4161,fepG,ferric enterobactin transport protein FepG
7046,PW8053,+,Supplemental_Plate3C02,PA4161,fepG,ferric enterobactin transport protein FepG
7047,PW8054,+,phoAwp09q1F10,PA4162,,probable short-chain dehydrogenase
7048,PW8056,+,lacZwp03q1H09,PA4163,,hypothetical protein
7049,PW8055,+,lacZwp02q1A05,PA4163,,hypothetical protein
7050,PW8057,+,phoAwp02q4F05,PA4163,,hypothetical protein
7051,PW8058,+,phoAwp03q1C08,PA4164,,hypothetical protein
7052,PW8059,+,phoAwp06q2F11,PA4164,,hypothetical protein
7053,PW8061,+,phoAbp01q4G08,PA4165,,probable transcriptional regulator
7054,PW8062,+,lacZwp01q1A08,PA4166,,probable acetyltransferase
7055,PW10140,,lacZbp01q3G03,PA4167,,probable oxidoreductase
7056,PW8064,+,phoAwp06q4F05,PA4167,,probable oxidoreductase
7057,PW8063,+,phoAwp01q1C12,PA4167,,probable oxidoreductase
7058,PW4649,+,phoAwp02q4D05,PA4168,fpvB,second ferric pyoverdine receptor FpvB
7059,PW8065,+,lacZwp06q1E01,PA4168,fpvB,second ferric pyoverdine receptor FpvB
7060,PW8066,+,lacZwp08q1D01,PA4168,fpvB,second ferric pyoverdine receptor FpvB
7061,PW8067,+,lacZwp06q2F08,PA4169,,conserved hypothetical protein
7062,PW8068,+,phoAwp03q2B12,PA4169,,conserved hypothetical protein
7063,PW8070,+,phoAwp09q4C05,PA4170,,hypothetical protein
7064,PW8069,+,lacZwp09q1G03,PA4170,,hypothetical protein
7065,PW8071,+,lacZbp03q3C08,PA4171,,probable protease
7066,PW8073,+,lacZwp08q3B01,PA4172,,probable nuclease
7067,PW2768,,phoAwp05q2H04,PA4172,,probable nuclease
7068,PW8074,,lacZwp04q4H06,PA4173,,conserved hypothetical protein
7069,PW8075,+,phoAwp04q2D07,PA4174,,probable transcriptional regulator
7070,PW8076,+,phoAwp08q1B03,PA4174,,probable transcriptional regulator
7071,PW8078,+,phoAbp01q4C08,PA4175,piv,protease IV
7072,PW8077,+,phoAbp01q3G10,PA4175,piv,protease IV
7073,PW8991,+,phoAbp01q4B01,PA4176,ppiC2,peptidyl-prolyl cis-trans isomerase C2
7074,PW8079,+,lacZwp03q4E12,PA4176,ppiC2,peptidyl-prolyl cis-trans isomerase C2
7075,PW8080,+,Supplemental_Plate3E10,PA4177,,hypothetical protein
7076,PW8082,+,lacZwp09q4B01,PA4178,,hypothetical protein
7077,PW8081,+,lacZbp03q2C06,PA4178,,hypothetical protein
7078,PW8084,+,phoAwp02q1G10,PA4179,,probable porin
7079,PW9186,+,lacZbp03q2D03,PA4179,,probable porin
7080,PW8083,+,phoAwp01q1E07,PA4179,,probable porin
7081,PW8085,+,lacZbp01q2A05,PA4180,,probable acetolactate synthase large subunit
7082,PW8086,+,lacZbp02q1F10,PA4180,,probable acetolactate synthase large subunit
7083,PW8088,+,phoAwp02q2A09,PA4181,,hypothetical protein
7084,PW8087,+,lacZwp06q3F03,PA4181,,hypothetical protein
7085,PW8089,+,lacZwp08q4B01,PA4182,,hypothetical protein
7086,PW8091,+,phoAwp05q3E05,PA4183,,hypothetical protein
7087,PW8090,+,lacZwp04q1A01,PA4183,,hypothetical protein
7088,PW8092,+,lacZwp05q3G07,PA4184,,probable transcriptional regulator
7089,PW8093,+,phoAwp10q2F04,PA4184,,probable transcriptional regulator
7090,PW8094,+,lacZbp01q1F07,PA4185,,probable transcriptional regulator
7091,PW8095,+,lacZbp02q4H09,PA4185,,probable transcriptional regulator
7092,PW8097,+,phoAwp02q2G05,PA4186,,hypothetical protein
7093,PW8096,+,lacZwp03q4A12,PA4186,,hypothetical protein
7094,PW8099,+,phoAwp01q3H12,PA4187,,probable major facilitator superfamily (MFS) transporter
7095,PW8098,+,phoAbp03q1B12,PA4187,,probable major facilitator superfamily (MFS) transporter
7096,PW8101,+,phoAwp08q3D10,PA4188,,conserved hypothetical protein
7097,PW8100,+,phoAwp02q1E03,PA4188,,conserved hypothetical protein
7098,PW8103,+,lacZwp09q2H03,PA4189,,probable aldehyde dehydrogenase
7099,PW8102,+,lacZwp01q3E02,PA4189,,probable aldehyde dehydrogenase
7100,PW8104,+,lacZbp02q4H11,PA4190,pqsL,probable FAD-dependent monooxygenase
7101,PW8105,+,phoAwp02q2F11,PA4190,pqsL,probable FAD-dependent monooxygenase
7102,PW8106,+,lacZwp03q4B04,PA4191,,probable iron/ascorbate oxidoreductase
7103,PW8107,+,phoAwp06q1E10,PA4191,,probable iron/ascorbate oxidoreductase
7104,PW8108,+,lacZwp05q2D04,PA4192,,probable ATP-binding component of ABC transporter
7105,PW8109,+,lacZwp02q2G10,PA4193,,probable permease of ABC transporter
7106,PW8110,+,lacZwp05q3C10,PA4193,,probable permease of ABC transporter
7107,PW8112,+,phoAwp10q2F09,PA4194,,probable permease of ABC transporter
7108,PW8111,+,phoAwp03q1G06,PA4194,,probable permease of ABC transporter
7109,PW6419,+,phoAwp08q2C04,PA4195,,probable binding protein component of ABC transporter
7110,PW8113,,lacZwp06q3G07,PA4195,,probable binding protein component of ABC transporter
7111,PW8114,+,phoAwp05q1E06,PA4196,,probable two-component response regulator
7112,PW8116,+,phoAwp01q3G01,PA4197,,probable two-component sensor
7113,PW4981,,lacZwp08q1E08,PA4197,,probable two-component sensor
7114,PW8115,+,phoAwp01q1A08,PA4197,,probable two-component sensor
7115,PW8118,+,phoAwp06q4C07,PA4198,,probable AMP-binding enzyme
7116,PW8117,+,lacZwp06q3D02,PA4198,,probable AMP-binding enzyme
7117,PW8119,+,lacZwp06q4B11,PA4199,,probable acyl-CoA dehydrogenase
7118,PW8120,+,lacZwp07q1C10,PA4199,,probable acyl-CoA dehydrogenase
7119,PW8122,+,lacZwp05q2G11,PA4200,,hypothetical protein
7120,PW8123,+,lacZwp03q1B08,PA4201,ddlA,D-alanine-D-alanine ligase A
7121,PW10172,,Supplemental_Plate2B08,PA4201,ddlA,D-alanine-D-alanine ligase A
7122,PW8124,+,lacZwp08q3G07,PA4201,ddlA,D-alanine-D-alanine ligase A
7123,PW8125,+,phoAwp06q2A11,PA4201,ddlA,D-alanine-D-alanine ligase A
7124,PW8126,,lacZwp03q1A11,PA4201,ddlA,D-alanine-D-alanine ligase A
7125,PW10426,+,lacZwp03q1A10,PA4201,ddlA,D-alanine-D-alanine ligase A
7126,PW8128,+,phoAwp05q1D11,PA4202,,hypothetical protein
7127,PW8130,+,phoAwp07q4F02,PA4203,,probable transcriptional regulator
7128,PW8129,+,phoAwp02q3E03,PA4203,,probable transcriptional regulator
7129,PW6228,+,phoAwp07q3H03,PA4204,ppgL,"periplasmic gluconolactonase, PpgL"
7130,PW8132,+,phoAbp02q3H02,PA4204,ppgL,"periplasmic gluconolactonase, PpgL"
7131,PW8131,+,phoAbp01q3E11,PA4204,ppgL,"periplasmic gluconolactonase, PpgL"
7132,PW8134,+,phoAbp02q3B11,PA4205,mexG,hypothetical protein
7133,PW8133,+,lacZwp05q2B11,PA4205,mexG,hypothetical protein
7134,PW8135,+,lacZwp09q1H09,PA4206,mexH,probable Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor
7135,PW8136,+,phoAwp08q1E02,PA4206,mexH,probable Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor
7136,PW8137,+,phoAwp09q3H08,PA4207,mexI,probable Resistance-Nodulation-Cell Division (RND) efflux transporter
7137,PW8138,+,phoAwp09q4F08,PA4207,mexI,probable Resistance-Nodulation-Cell Division (RND) efflux transporter
7138,PW8139,+,lacZwp06q1E08,PA4208,opmD,probable outer membrane protein precursor
7139,PW8141,+,lacZbp03q2A05,PA4209,phzM,probable phenazine-specific methyltransferase
7140,PW8142,+,lacZwp01q2D12,PA4209,phzM,probable phenazine-specific methyltransferase
7141,PW8144,+,phoAwp07q4A07,PA4210,phzA1,probable phenazine biosynthesis protein
7142,PW8143,+,phoAwp06q3B05,PA4210,phzA1,probable phenazine biosynthesis protein
7143,PW8145,,lacZwp09q4D04,PA4211,phzB1,probable phenazine biosynthesis protein
7144,PW8147,+,phoAwp02q2A02,PA4212,phzC1,phenazine biosynthesis protein PhzC
7145,PW5136,+,phoAwp02q2B02,PA4212,phzC1,phenazine biosynthesis protein PhzC
7146,PW8146,+,lacZwp04q1D01,PA4212,phzC1,phenazine biosynthesis protein PhzC
7147,PW8149,+,phoAwp01q4D08,PA4214,phzE1,phenazine biosynthesis protein PhzE
7148,PW8150,+,phoAwp01q4F10,PA4214,phzE1,phenazine biosynthesis protein PhzE
7149,PW8152,+,lacZwp08q3F06,PA4215,phzF1,probable phenazine biosynthesis protein
7150,PW8151,+,lacZwp02q2H02,PA4215,phzF1,probable phenazine biosynthesis protein
7151,PW8153,+,Supplemental_Plate3G08,PA4215,phzF1,probable phenazine biosynthesis protein
7152,PW8154,,phoAbp03q3A05,PA4217,phzS,flavin-containing monooxygenase
7153,PW8155,+,phoAwp09q2E02,PA4217,phzS,flavin-containing monooxygenase
7154,PW8156,+,lacZwp03q4E04,PA4218,,probable transporter
7155,PW6033,+,lacZbp03q1A05,PA4218,,probable transporter
7156,PW8157,+,lacZwp08q4G07,PA4218,,probable transporter
7157,PW8158,+,lacZwp02q2G05,PA4219,,hypothetical protein
7158,PW8160,+,lacZwp07q1G02,PA4220,,hypothetical protein
7159,PW7180,,phoAwp02q1B10,PA4221,fptA,Fe(III)-pyochelin outer membrane receptor precursor
