Gene	Essentiality	Control	Condition	Replicates	loci	description	old_loci
fhuA	always non-essential	0	0	4	NA	NA	NA
fhuB	always non-essential	0	0	4	NA	NA	NA
fhuG	always non-essential	0	0	4	NA	NA	NA
fmhA	always non-essential	0	0	4	SAUSA300_RS13010	FemA/FemB family glycyltransferase FmhA	SAUSA300_2356
fmt	probably always essential	3	3	4	NA	NA	NA
fmtB	always non-essential	0	0	4	NA	NA	NA
fmtC	always non-essential	0	0	4	NA	NA	NA
fnbA	always non-essential	0	0	4	SAUSA300_RS13530	fibronectin-binding protein FnbA	SAUSA300_2441
fnbB	always non-essential	0	0	4	SAUSA300_RS13525	fibronectin-binding protein FnbB	SAUSA300_2440
fni	always essential	4	4	4	NA	NA	NA
folA	probably always essential	4	3	4	NA	NA	NA
folB	inconsistent replicates	4	2	4	SAUSA300_RS02645	dihydroneopterin aldolase	SAUSA300_0493
folC	always essential	4	4	4	NA	NA	NA
folD	inconsistent replicates	2	1	4	SAUSA300_RS05190	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	SAUSA300_0965
folE	always non-essential	0	0	4	NA	NA	NA
folK	probably always essential	3	3	4	SAUSA300_RS02650	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	SAUSA300_0494
folP	probably essential in control	3	1	4	SAUSA300_RS02640	dihydropteroate synthase	SAUSA300_0492
fosB	always non-essential	0	0	4	NA	NA	NA
frp	always non-essential	0	0	4	NA	NA	NA
fruA	always non-essential	0	0	4	NA	NA	NA
fruB	always non-essential	0	0	4	NA	NA	NA
ftsA	always essential	4	4	4	SAUSA300_RS05850	cell division protein FtsA	SAUSA300_1079
ftsK	inconsistent replicates	2	1	4	NA	NA	NA
ftsL	always essential	4	4	4	SAUSA300_RS05825	cell division protein FtsL	SAUSA300_1074
ftsY	always essential	4	4	4	SAUSA300_RS06105	signal recognition particle-docking protein FtsY	SAUSA300_1128
ftsZ	always essential	4	4	4	SAUSA300_RS05855	cell division protein FtsZ	SAUSA300_1080
fumC	always non-essential	0	0	4	SAUSA300_RS09855	class II fumarate hydratase	SAUSA300_1801
fur	always non-essential	0	0	4	NA	NA	NA
fusA	always essential	4	4	4	SAUSA300_RS02845	elongation factor G	SAUSA300_0532
galM	always non-essential	0	0	4	NA	NA	NA
galU	probably always essential	3	4	4	SAUSA300_RS13520	UTP--glucose-1-phosphate uridylyltransferase GalU	SAUSA300_2439
gap	always essential	4	4	4	SAUSA300_RS04080	type I glyceraldehyde-3-phosphate dehydrogenase	SAUSA300_0756
gap	always essential	4	4	4	SAUSA300_RS08910	type I glyceraldehyde-3-phosphate dehydrogenase	SAUSA300_1633
gatA	always essential	4	4	4	SAUSA300_RS10295	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	SAUSA300_1881
gatB	always essential	4	4	4	SAUSA300_RS10290	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	SAUSA300_1880
gatC	always essential	4	4	4	SAUSA300_RS10300	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	SAUSA300_1882
gcvH	probably always essential	4	3	4	SAUSA300_RS04270	glycine cleavage system protein GcvH	SAUSA300_0791
gcvT	always non-essential	0	0	4	SAUSA300_RS08175	glycine cleavage system aminomethyltransferase GcvT	SAUSA300_1498
ggt	always non-essential	0	0	4	SAUSA300_RS01075	gamma-glutamyltransferase	SAUSA300_0204
gid	always non-essential	0	0	4	NA	NA	NA
gidA	always non-essential	0	0	4	NA	NA	NA
gidB	always non-essential	0	0	4	NA	NA	NA
glcT	always non-essential	0	0	4	NA	NA	NA
glcU	always non-essential	0	0	4	NA	NA	NA
glk	always non-essential	0	0	4	NA	NA	NA
glmM	always essential	4	4	4	NA	NA	NA
glmS	always essential	4	4	4	SAUSA300_RS11600	glutamine--fructose-6-phosphate transaminase (isomerizing)	SAUSA300_2104
glmU	always essential	4	4	4	SAUSA300_RS02560	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	SAUSA300_0477
glnA	always essential	4	4	4	SAUSA300_RS06485	type I glutamate--ammonia ligase	SAUSA300_1201
glnR	always non-essential	0	0	4	NA	NA	NA
glpD	always non-essential	0	0	4	NA	NA	NA
glpF	always non-essential	0	0	4	NA	NA	NA
glpK	always non-essential	0	0	4	SAUSA300_RS06440	glycerol kinase GlpK	SAUSA300_1192
glpP	always non-essential	0	0	4	NA	NA	NA
glpQ	always non-essential	0	0	4	NA	NA	NA
glpT	always non-essential	0	0	4	SAUSA300_RS01790	glycerol-3-phosphate transporter	SAUSA300_0337
gltA	always non-essential	0	0	4	NA	NA	NA
gltB	always non-essential	0	0	4	SAUSA300_RS02380	glutamate synthase large subunit	SAUSA300_0445
gltC	always non-essential	0	0	4	NA	NA	NA
gltD	always non-essential	0	0	4	NA	NA	NA
gltS	always non-essential	0	0	4	SAUSA300_RS12660	sodium/glutamate symporter	SAUSA300_2291
gltT	always non-essential	0	0	4	NA	NA	NA
gltX	always essential	4	4	4	NA	NA	NA
glvC	always non-essential	0	0	4	NA	NA	NA
glyA	always non-essential	0	0	4	NA	NA	NA
glyS	always essential	4	4	4	NA	NA	NA
gmk	probably always essential	4	3	4	SAUSA300_RS05970	guanylate kinase	SAUSA300_1102
gnd	always essential	4	4	4	NA	NA	NA
gntK	always non-essential	0	0	4	SAUSA300_RS13550	gluconokinase	SAUSA300_2443
gntP	always non-essential	0	0	4	NA	NA	NA
gntR	always non-essential	0	0	4	NA	NA	NA
gpmA	always non-essential	0	0	4	NA	NA	NA
gpmI	always non-essential	0	0	4	NA	NA	NA
gpsA	probably always non-essential	0	1	4	NA	NA	NA
greA	inconsistent replicates	3	2	4	SAUSA300_RS08545	transcription elongation factor GreA	SAUSA300_1567
groES	inconsistent replicates	3	2	4	SAUSA300_RS10905	co-chaperone GroES	SAUSA300_1983
groL	probably always essential	4	3	4	SAUSA300_RS10900	chaperonin GroEL	SAUSA300_1982
grpE	probably always non-essential	1	1	4	SAUSA300_RS08400	nucleotide exchange factor GrpE	SAUSA300_1541
guaA	inconsistent replicates	4	2	4	SAUSA300_RS02075	glutamine-hydrolyzing GMP synthase	SAUSA300_0389
guaB	always non-essential	0	0	4	SAUSA300_RS02070	IMP dehydrogenase	SAUSA300_0388
guaC	always non-essential	0	0	4	SAUSA300_RS06695	GMP reductase	SAUSA300_1235
gudB	inconsistent replicates	2	1	4	NA	NA	NA
gutB	always non-essential	0	0	4	NA	NA	NA
gyrA	always essential	4	4	4	SAUSA300_RS00035	DNA gyrase subunit A	SAUSA300_0006
gyrB	always essential	4	4	4	SAUSA300_RS00030	DNA topoisomerase (ATP-hydrolyzing) subunit B	SAUSA300_0005
hemA	always essential	4	4	4	NA	NA	NA
hemB	probably always essential	3	4	4	SAUSA300_RS08805	porphobilinogen synthase	SAUSA300_1615
hemC	probably essential in control	4	1	4	SAUSA300_RS08815	hydroxymethylbilane synthase	SAUSA300_1617
hemD	always essential	4	4	4	NA	NA	NA
hemE	always essential	4	4	4	SAUSA300_RS09760	uroporphyrinogen decarboxylase	SAUSA300_1783
hemG	probably always non-essential	1	1	4	NA	NA	NA
hemH	probably always essential	4	3	4	SAUSA300_RS09755	ferrochelatase	SAUSA300_1782
hemL	always non-essential	0	0	4	SAUSA300_RS08800	glutamate-1-semialdehyde 2-1-aminomutase	SAUSA300_1614
hemX	always non-essential	0	0	4	NA	NA	NA
hfq	always non-essential	0	0	4	SAUSA300_RS06460	RNA chaperone Hfq	SAUSA300_1196
hisA	always non-essential	0	0	4	NA	NA	NA
hisB	always non-essential	0	0	4	SAUSA300_RS14505	imidazoleglycerol-phosphate dehydratase HisB	SAUSA300_2609
hisC	always non-essential	0	0	4	SAUSA300_RS03805	histidinol-phosphate transaminase	SAUSA300_0708
hisD	always non-essential	0	0	4	NA	NA	NA
hisF	always non-essential	0	0	4	SAUSA300_RS14490	imidazole glycerol phosphate synthase subunit HisF	SAUSA300_2606
hisG	always non-essential	0	0	4	NA	NA	NA
hisH	always non-essential	0	0	4	SAUSA300_RS14500	imidazole glycerol phosphate synthase subunit HisH	SAUSA300_2608
hisIE	always non-essential	0	0	4	NA	NA	NA
hisS	always essential	4	4	4	NA	NA	NA
hlgA	always non-essential	0	0	4	SAUSA300_RS13070	bi-component gamma-hemolysin HlgAB subunit A	SAUSA300_2365
hlgB	always non-essential	0	0	4	SAUSA300_RS13080	bi-component gamma-hemolysin HlgAB/HlgCB subunit B	SAUSA300_2367
hlgC	always non-essential	0	0	4	SAUSA300_RS13075	bi-component gamma-hemolysin HlgCB subunit C	SAUSA300_2366
holA	probably always essential	4	3	4	SAUSA300_RS08430	DNA polymerase III subunit delta	SAUSA300_1546
holB	always essential	4	4	4	NA	NA	NA
hprK	probably always essential	3	3	4	NA	NA	NA
hpt	essential in control	4	0	4	SAUSA300_RS02620	hypoxanthine phosphoribosyltransferase	SAUSA300_0488
hrcA	always non-essential	0	0	4	SAUSA300_RS08405	heat-inducible transcriptional repressor HrcA	SAUSA300_1542
hsdM	always non-essential	0	0	4	NA	NA	NA
hsdR	always non-essential	0	0	4	NA	NA	NA
hsdS	always non-essential	0	0	4	NA	NA	NA
hslU	always non-essential	0	0	4	SAUSA300_RS06205	ATP-dependent protease ATPase subunit HslU	SAUSA300_1147
hslV	always non-essential	0	0	4	SAUSA300_RS06200	ATP-dependent protease subunit HslV	SAUSA300_1146
htrA	always non-essential	0	0	4	NA	NA	NA
hup	probably always essential	3	3	4	NA	NA	NA
hutG	always non-essential	0	0	4	NA	NA	NA
hutH	always non-essential	0	0	4	SAUSA300_RS00045	histidine ammonia-lyase	SAUSA300_0008
hutI	always non-essential	0	0	4	NA	NA	NA
hutU	always non-essential	0	0	4	SAUSA300_RS12590	urocanate hydratase	SAUSA300_2278
hysA	always non-essential	0	0	4	SAUSA300_RS11915	hyaluronate lyase HysA	SAUSA300_2161
icaA	always non-essential	0	0	4	NA	NA	NA
icaB	always non-essential	0	0	4	SAUSA300_RS14465	intercellular adhesin biosynthesis polysaccharide N-deacetylase	SAUSA300_2601
icaC	always non-essential	0	0	4	SAUSA300_RS14470	polysaccharide intercellular adhesin biosynthesis/export protein IcaC	SAUSA300_2602
icd	always essential	4	4	4	SAUSA300_RS08950	NADP-dependent isocitrate dehydrogenase	SAUSA300_1640
ileS	always essential	4	4	4	SAUSA300_RS05890	isoleucine--tRNA ligase	SAUSA300_1087
ilvA	always non-essential	0	0	4	SAUSA300_RS11075	threonine ammonia-lyase IlvA	SAUSA300_2014
ilvB	always non-essential	0	0	4	SAUSA300_RS11040	biosynthetic-type acetolactate synthase large subunit	SAUSA300_2007
ilvC	always non-essential	0	0	4	SAUSA300_RS11050	ketol-acid reductoisomerase	SAUSA300_2009
ilvD	always non-essential	0	0	4	SAUSA300_RS11035	dihydroxy-acid dehydratase	SAUSA300_2006
ilvE	always essential	4	4	4	NA	NA	NA
ilvN	always non-essential	0	0	4	NA	NA	NA
infA	always essential	4	4	4	SAUSA300_RS12040	translation initiation factor IF-1	SAUSA300_2182
infB	always essential	4	4	4	SAUSA300_RS06290	translation initiation factor IF-2	SAUSA300_1162
infC	always essential	4	4	4	SAUSA300_RS08875	translation initiation factor IF-3	SAUSA300_1627
int	always non-essential	0	0	4	NA	NA	NA
ipdC	always non-essential	0	0	4	NA	NA	NA
isaA	always non-essential	0	0	4	SAUSA300_RS13915	lytic transglycosylase IsaA	SAUSA300_2506
isaB	always non-essential	0	0	4	SAUSA300_RS14315	immunodominant staphylococcal antigen IsaB	SAUSA300_2573
ispE	always non-essential	0	0	4	NA	NA	NA
kdpA	always non-essential	0	0	4	SAUSA300_RS11190	potassium-transporting ATPase subunit KdpA	SAUSA300_2034
kdpB	always non-essential	0	0	4	SAUSA300_RS11185	potassium-transporting ATPase subunit KdpB	SAUSA300_2033
kdpC	always non-essential	0	0	4	NA	NA	NA
kdpD	always non-essential	0	0	4	NA	NA	NA
kdpE	always non-essential	0	0	4	NA	NA	NA
ksgA	probably always essential	4	3	4	NA	NA	NA
lacA	always non-essential	0	0	4	SAUSA300_RS15900	galactose-6-phosphate isomerase subunit LacA	SAUSA300_2155
lacB	always non-essential	0	0	4	SAUSA300_RS15895	galactose-6-phosphate isomerase subunit LacB	SAUSA300_2154
lacC	always non-essential	0	0	4	SAUSA300_RS11860	tagatose-6-phosphate kinase	SAUSA300_2153
lacD	always non-essential	0	0	4	SAUSA300_RS11855	tagatose-bisphosphate aldolase	SAUSA300_2152
lacE	always non-essential	0	0	4	NA	NA	NA
lacF	probably always non-essential	0	1	4	NA	NA	NA
lacG	always non-essential	0	0	4	SAUSA300_RS11840	6-phospho-beta-galactosidase	SAUSA300_2149
lctP	always non-essential	0	0	4	NA	NA	NA
lepA	always non-essential	0	0	4	SAUSA300_RS08420	translation elongation factor 4	SAUSA300_1544
leuA	always non-essential	0	0	4	NA	NA	NA
leuB	always non-essential	0	0	4	SAUSA300_RS11060	3-isopropylmalate dehydrogenase	SAUSA300_2011
leuC	always non-essential	0	0	4	SAUSA300_RS11065	3-isopropylmalate dehydratase large subunit	SAUSA300_2012
leuD	always non-essential	0	0	4	SAUSA300_RS11070	3-isopropylmalate dehydratase small subunit	SAUSA300_2013
leuS	always essential	4	4	4	NA	NA	NA
lexA	probably always non-essential	1	0	4	SAUSA300_RS06710	transcriptional repressor LexA	SAUSA300_1237
lgt	always non-essential	0	0	4	NA	NA	NA
ligA	always essential	4	4	4	SAUSA300_RS10315	NAD-dependent DNA ligase LigA	SAUSA300_1885
lip	always non-essential	0	0	4	NA	NA	NA
lipA	always non-essential	0	0	4	SAUSA300_RS04475	lipoyl synthase	SAUSA300_0829
lpdA	always essential	4	4	4	SAUSA300_RS05365	dihydrolipoyl dehydrogenase	SAUSA300_0996
lpdA	always essential	4	4	4	SAUSA300_RS08010	dihydrolipoyl dehydrogenase	SAUSA300_1467
lpl3	always non-essential	0	0	4	NA	NA	NA
lspA	always non-essential	0	0	4	SAUSA300_RS05905	signal peptidase II	SAUSA300_1089
ltrA	always non-essential	0	0	4	NA	NA	NA
lukD	always non-essential	0	0	4	SAUSA300_RS09680	bi-component leukocidin LukED subunit D	SAUSA300_1768
lukE	always non-essential	0	0	4	SAUSA300_RS09685	bi-component leukocidin LukED subunit E	SAUSA300_1769
lukFPV	always non-essential	0	0	4	NA	NA	NA
lukSPV	always non-essential	0	0	4	NA	NA	NA
luxS	always non-essential	0	0	4	NA	NA	NA
lysA	always non-essential	0	0	4	SAUSA300_RS07025	diaminopimelate decarboxylase	SAUSA300_1293
lysP	inconsistent replicates	3	2	4	NA	NA	NA
lysS	always essential	4	4	4	SAUSA300_RS02660	lysine--tRNA ligase	SAUSA300_0496
lytH	always non-essential	0	0	4	NA	NA	NA
lytM	always non-essential	0	0	4	SAUSA300_RS01450	glycine-glycine endopeptidase LytM	SAUSA300_0270
lytN	always non-essential	0	0	4	NA	NA	NA
malR	always non-essential	0	0	4	NA	NA	NA
manA	always non-essential	0	0	4	SAUSA300_RS14335	mannose-6-phosphate isomerase	SAUSA300_2577
map	always non-essential	0	0	4	SAUSA300_RS10205	type I methionyl aminopeptidase	SAUSA300_1869
mecA	always non-essential	0	0	4	SAUSA300_RS00165	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	SAUSA300_0032
mecA	always non-essential	0	0	4	SAUSA300_RS04845	adaptor protein MecA	SAUSA300_0899
menA	always essential	4	4	4	NA	NA	NA
menB	always non-essential	0	0	4	SAUSA300_RS05095	1-4-dihydroxy-2-naphthoyl-CoA synthase	SAUSA300_0948
menC	always non-essential	0	0	4	SAUSA300_RS09495	o-succinylbenzoate synthase	SAUSA300_1735
menD	always non-essential	0	0	4	SAUSA300_RS05085	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	SAUSA300_0946
menE	always non-essential	0	0	4	SAUSA300_RS09500	o-succinylbenzoate--CoA ligase	SAUSA300_1737
metB	always non-essential	0	0	4	NA	NA	NA
metE	always non-essential	0	0	4	SAUSA300_RS01895	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	SAUSA300_0357
metK	always essential	4	4	4	NA	NA	NA
metS	probably always essential	4	3	4	NA	NA	NA
mfd	always non-essential	0	0	4	SAUSA300_RS02585	transcription-repair coupling factor	SAUSA300_0481
mgtE	always non-essential	0	0	4	SAUSA300_RS04895	magnesium transporter	SAUSA300_0910
miaA	always non-essential	0	0	4	SAUSA300_RS06455	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	SAUSA300_1195
miaB	always non-essential	0	0	4	SAUSA300_RS06405	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	SAUSA300_1185
mnhA	always essential	4	4	4	NA	NA	NA
mnhB	probably always essential	4	3	4	NA	NA	NA
mnhC	inconsistent replicates	4	2	4	NA	NA	NA
mnhD	inconsistent replicates	4	2	4	NA	NA	NA
mnhE	always essential	4	4	4	NA	NA	NA
mnhF	always essential	4	4	4	NA	NA	NA
mnhG	always non-essential	0	0	4	NA	NA	NA
moaA	always non-essential	0	0	4	SAUSA300_RS12260	GTP 3'-8-cyclase MoaA	SAUSA300_2219
moaB	always non-essential	0	0	4	NA	NA	NA
moaC	always non-essential	0	0	4	SAUSA300_RS12290	cyclic pyranopterin monophosphate synthase MoaC	SAUSA300_2225
moaD	always non-essential	0	0	4	SAUSA300_RS12270	molybdopterin converting factor subunit 1	SAUSA300_2221
moaE	always non-essential	0	0	4	NA	NA	NA
mobA	always non-essential	0	0	4	SAUSA300_RS12265	molybdenum cofactor guanylyltransferase MobA	SAUSA300_2220
mobB	always non-essential	0	0	4	SAUSA300_RS12280	molybdopterin-guanine dinucleotide biosynthesis protein B	SAUSA300_2223
modA	always non-essential	0	0	4	SAUSA300_RS12315	molybdate ABC transporter substrate-binding protein	SAUSA300_2230
modB	always non-essential	0	0	4	SAUSA300_RS12310	molybdate ABC transporter permease subunit	SAUSA300_2229
modC	always non-essential	0	0	4	NA	NA	NA
moeA	always non-essential	0	0	4	NA	NA	NA
moeB	always non-essential	0	0	4	NA	NA	NA
mqo	always non-essential	0	0	4	SAUSA300_RS12775	malate dehydrogenase (quinone)	SAUSA300_2312
mqo	always non-essential	0	0	4	SAUSA300_RS14105	malate dehydrogenase (quinone)	SAUSA300_2541
mraW	probably always essential	3	3	4	NA	NA	NA
mraY	always essential	4	4	4	NA	NA	NA
mraZ	always non-essential	0	0	4	SAUSA300_RS05815	division/cell wall cluster transcriptional repressor MraZ	SAUSA300_1072
mreC	always non-essential	0	0	4	SAUSA300_RS08740	rod shape-determining protein MreC	SAUSA300_1605
mreD	always non-essential	0	0	4	SAUSA300_RS08735	rod shape-determining protein MreD	SAUSA300_1604
mscL	always non-essential	0	0	4	SAUSA300_RS06755	large conductance mechanosensitive channel protein MscL	SAUSA300_1244
msrA	always non-essential	0	0	4	SAUSA300_RS06825	peptide-methionine (S)-S-oxide reductase MsrA	SAUSA300_1256
msrA	always non-essential	0	0	4	SAUSA300_RS07175	peptide-methionine (S)-S-oxide reductase MsrA	SAUSA300_1317
msrB	always non-essential	0	0	4	SAUSA300_RS07170	peptide-methionine (R)-S-oxide reductase MsrB	SAUSA300_1316
msrR	always non-essential	0	0	4	NA	NA	NA
mtlA	always non-essential	0	0	4	NA	NA	NA
mtlD	always non-essential	0	0	4	NA	NA	NA
mtlF	always non-essential	0	0	4	NA	NA	NA
mtnN	probably always essential	4	3	4	SAUSA300_RS08490	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	SAUSA300_1558
murA	always non-essential	0	0	4	SAUSA300_RS11315	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	SAUSA300_2055
murB	always essential	4	4	4	NA	NA	NA
murC	always essential	4	4	4	NA	NA	NA
murD	always essential	4	4	4	NA	NA	NA
murE	always essential	4	4	4	NA	NA	NA
murF	always essential	4	4	4	NA	NA	NA
murG	always essential	4	4	4	NA	NA	NA
murI	always essential	4	4	4	NA	NA	NA
mutL	always non-essential	0	0	4	SAUSA300_RS06425	DNA mismatch repair endonuclease MutL	SAUSA300_1189
mutM	always non-essential	0	0	4	SAUSA300_RS08920	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	SAUSA300_1635
mutS	always non-essential	0	0	4	SAUSA300_RS06420	DNA mismatch repair protein MutS	SAUSA300_1188
mutS2	always non-essential	0	0	4	NA	NA	NA
mutY	always non-essential	0	0	4	SAUSA300_RS10100	A/G-specific adenine glycosylase	SAUSA300_1849
mvaD	always essential	4	4	4	SAUSA300_RS03065	diphosphomevalonate decarboxylase	SAUSA300_0573
mvk	always essential	4	4	4	SAUSA300_RS03060	mevalonate kinase	SAUSA300_0572
nadD	always essential	4	4	4	SAUSA300_RS08465	nicotinate (nicotinamide) nucleotide adenylyltransferase	SAUSA300_1553
nadE	always essential	4	4	4	SAUSA300_RS10360	ammonia-dependent NAD(+) synthetase	SAUSA300_1893
nagA	always non-essential	0	0	4	SAUSA300_RS03685	N-acetylglucosamine-6-phosphate deacetylase	SAUSA300_0686
nagE	always non-essential	0	0	4	NA	NA	NA
nanA	always non-essential	0	0	4	NA	NA	NA
narH	always non-essential	0	0	4	SAUSA300_RS12930	nitrate reductase subunit beta	SAUSA300_2342
narI	always non-essential	0	0	4	SAUSA300_RS12920	respiratory nitrate reductase subunit gamma	SAUSA300_2340
narJ	always non-essential	0	0	4	SAUSA300_RS12925	nitrate reductase molybdenum cofactor assembly chaperone	SAUSA300_2341
narK	always non-essential	0	0	4	NA	NA	NA
ndk	always non-essential	0	0	4	SAUSA300_RS07405	nucleoside-diphosphate kinase	SAUSA300_1358
nhaC	always non-essential	0	0	4	SAUSA300_RS12425	Na+/H+ antiporter NhaC	SAUSA300_2250
nirB	always non-essential	0	0	4	NA	NA	NA
nirD	always non-essential	0	0	4	SAUSA300_RS12945	nitrite reductase small subunit NirD	SAUSA300_2345
nirR	always non-essential	0	0	4	NA	NA	NA
nixA	always non-essential	0	0	4	NA	NA	NA
norA	always non-essential	0	0	4	SAUSA300_RS03650	multidrug efflux MFS transporter NorA	SAUSA300_0680
nrdD	probably always non-essential	0	1	4	SAUSA300_RS14175	anaerobic ribonucleoside-triphosphate reductase	SAUSA300_2551
nrdG	always non-essential	0	0	4	SAUSA300_RS14170	anaerobic ribonucleoside-triphosphate reductase activating protein	SAUSA300_2550
nrdI	always essential	4	4	4	SAUSA300_RS03840	class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI	SAUSA300_0715
nth	always non-essential	0	0	4	SAUSA300_RS07325	endonuclease III	SAUSA300_1343
nuc	always non-essential	0	0	4	NA	NA	NA
nupC	always non-essential	0	0	4	NA	NA	NA
nusA	always essential	4	4	4	SAUSA300_RS06275	transcription termination factor NusA	SAUSA300_1159
nusB	probably always non-essential	1	0	4	SAUSA300_RS08040	transcription antitermination factor NusB	SAUSA300_1473
nusG	inconsistent replicates	4	2	4	SAUSA300_RS02790	transcription termination/antitermination protein NusG	SAUSA300_0521
opp1A	always non-essential	0	0	4	NA	NA	NA
opp2B	always non-essential	0	0	4	NA	NA	NA
opp2F	always non-essential	0	0	4	NA	NA	NA
opp3B	always non-essential	0	0	4	NA	NA	NA
opp3C	always non-essential	0	0	4	NA	NA	NA
oppA	always non-essential	0	0	4	NA	NA	NA
oppB	always non-essential	0	0	4	NA	NA	NA
oppC	always non-essential	0	0	4	NA	NA	NA
oppD	always non-essential	0	0	4	NA	NA	NA
oppF	always non-essential	0	0	4	NA	NA	NA
opuCa	always non-essential	0	0	4	NA	NA	NA
opuCb	always non-essential	0	0	4	NA	NA	NA
opuCc	always non-essential	0	0	4	NA	NA	NA
opuCd	always non-essential	0	0	4	NA	NA	NA
opuD	always non-essential	0	0	4	NA	NA	NA
oxaA	always essential	4	4	4	NA	NA	NA
pabA	always non-essential	0	0	4	NA	NA	NA
panB	always non-essential	0	0	4	SAUSA300_RS14060	3-methyl-2-oxobutanoate hydroxymethyltransferase	SAUSA300_2534
panC	always non-essential	0	0	4	NA	NA	NA
panD	always non-essential	0	0	4	NA	NA	NA
panE	always non-essential	0	0	4	NA	NA	NA
parC	probably always essential	4	3	4	SAUSA300_RS06790	DNA topoisomerase IV subunit A	SAUSA300_1251
parE	always essential	4	4	4	SAUSA300_RS06785	DNA topoisomerase IV subunit B	SAUSA300_1250
pbp2	always essential	4	4	4	NA	NA	NA
pbp3	always non-essential	0	0	4	NA	NA	NA
pbp4	always non-essential	0	0	4	SAUSA300_RS03370	penicillin-binding protein PBP4	SAUSA300_0629
pbpA	always essential	4	4	4	NA	NA	NA
pbuX	always non-essential	0	0	4	NA	NA	NA
pckA	probably always non-essential	1	0	4	SAUSA300_RS09470	phosphoenolpyruvate carboxykinase (ATP)	SAUSA300_1731
pcp	always non-essential	0	0	4	SAUSA300_RS14575	pyroglutamyl-peptidase I	SAUSA300_2623
pcrA	always essential	4	4	4	SAUSA300_RS10320	DNA helicase PcrA	SAUSA300_1886
pcrB	always non-essential	0	0	4	NA	NA	NA
pdhA	probably always non-essential	1	0	4	SAUSA300_RS05350	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	SAUSA300_0993
pdhB	probably essential in control	3	0	4	NA	NA	NA
pdp	always non-essential	0	0	4	NA	NA	NA
pepF	always non-essential	0	0	4	SAUSA300_RS04855	oligoendopeptidase F	SAUSA300_0902
pepF	always non-essential	0	0	4	SAUSA300_RS06940	oligoendopeptidase F	SAUSA300_1278
pepS	always non-essential	0	0	4	NA	NA	NA
pepT	always non-essential	0	0	4	SAUSA300_RS03915	peptidase T	SAUSA300_0727
pfkA	always essential	4	4	4	SAUSA300_RS08980	6-phosphofructokinase	SAUSA300_1645
pflA	always non-essential	0	0	4	SAUSA300_RS01160	pyruvate formate lyase-activating protein	SAUSA300_0221
pflB	always non-essential	0	0	4	SAUSA300_RS01155	formate C-acetyltransferase	SAUSA300_0220
pfoR	always non-essential	0	0	4	NA	NA	NA
pgi	always essential	4	4	4	NA	NA	NA
pgk	always essential	4	4	4	NA	NA	NA
pgsA	always essential	4	4	4	SAUSA300_RS06360	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	SAUSA300_1176
pheA	always non-essential	0	0	4	NA	NA	NA
pheS	always essential	4	4	4	SAUSA300_RS05585	phenylalanine--tRNA ligase subunit alpha	SAUSA300_1037
pheT	always essential	4	4	4	NA	NA	NA
phnC	always non-essential	0	0	4	SAUSA300_RS00755	phosphonate ABC transporter ATP-binding protein	SAUSA300_0144
phnE	always non-essential	0	0	4	SAUSA300_RS00745	phosphonate ABC transporter permease protein PhnE	SAUSA300_0142
phnE	always non-essential	0	0	4	SAUSA300_RS00750	phosphonate ABC transporter permease protein PhnE	SAUSA300_0143
phoB	always non-essential	0	0	4	NA	NA	NA
phoH	always non-essential	0	0	4	NA	NA	NA
phoP	inconsistent replicates	2	0	4	NA	NA	NA
phoR	always non-essential	0	0	4	NA	NA	NA
phoU	always non-essential	0	0	4	SAUSA300_RS06945	phosphate signaling complex protein PhoU	SAUSA300_1279
pknB	always non-essential	0	0	4	SAUSA300_RS06025	serine/threonine protein kinase Stk1	SAUSA300_1113
plc	always non-essential	0	0	4	NA	NA	NA
plsX	always essential	4	4	4	SAUSA300_RS06070	phosphate acyltransferase PlsX	SAUSA300_1122
pnbA	always non-essential	0	0	4	NA	NA	NA
pnpA	always non-essential	0	0	4	NA	NA	NA
polA	always non-essential	0	0	4	SAUSA300_RS08925	DNA polymerase I	SAUSA300_1636
polC	always essential	4	4	4	NA	NA	NA
potA	always non-essential	0	0	4	NA	NA	NA
potB	always non-essential	0	0	4	NA	NA	NA
